uci_code,rider_name,nationality,date_of_birth
PIN,Aime De Gendt,BEL,1994-06-17
PIN,Mark Donovan,GBR,1999-04-03
PIN,Eddie Dunbar,IRL,1996-09-01
PIN,Frederik Frison,BEL,1992-07-28
PIN,Thomas Gloag,GBR,2001-09-13
PIN,David Gonzalez,ESP,1996-02-21
PIN,Chris Harper,AUS,1994-11-23
PIN,Quinten Hermans,BEL,1995-07-29
PIN,Emmanuel Houcou,FRA,2003-02-14
PIN,Damien Howson,AUS,1992-08-13
PIN,Emils Liepins,LAT,1992-10-29
PIN,Kamil Malecki,POL,1996-01-02
PIN,Xandro Meurisse,BEL,1992-01-31
PIN,Matteo Moschetti,ITA,1996-08-14
PIN,Nicolo Parisini,ITA,2000-04-25
PIN,Joe Pidcock,GBR,2002-03-20
PIN,Tom Pidcock,GBR,1999-07-30
PIN,Milan Vader,NED,1996-02-18
PIN,Brent Van Moer,BEL,1998-01-12
PIN,Harm Vanhoucke,BEL,1997-06-17
PIN,Fred Wright,GBR,1999-06-13
PIN,Nickolas Zukowsky,CAN,1998-06-03
TTE,Lucas Boniface,FRA,1988-10-24
TTE,Thomas Bonnet,FRA,1998-09-13
TTE,Rayan Boulahoite,FRA,2004-02-24
TTE,Alexys Brunel,FRA,1998-10-10
TTE,Mathieu Burgaudeau,FRA,1998-11-17
TTE,Steff Cras,BEL,1996-02-13
TTE,Florian Dauphin,FRA,1999-04-06
TTE,Joris Delbove,FRA,2000-07-15
TTE,Alexandre Delettre,FRA,1997-10-25
TTE,Fabien Doubey,FRA,1993-10-21
TTE,Sandy Dujardin,FRA,1997-05-29
TTE,Thomas Gachignard,FRA,2000-08-17
TTE,Fabien Grellier,FRA,1994-10-31
TTE,Emilien Jeanniere,FRA,1998-09-26
TTE,Jordan Jegat,FRA,1999-06-07
TTE,Alan Jousseaume,FRA,1998-08-03
TTE,Pierre Latour,FRA,1993-10-12
TTE,Samuel Leroux,FRA,1994-09-27
TTE,Lorrenzo Manzin,FRA,1994-07-26
TTE,Nicola Marcerou,FRA,2002-09-23
TTE,Valentin Retailleau,FRA,2000-06-18
TTE,Geoffrey Soupe,FRA,1988-03-22
TTE,Jason Tesson,FRA,1998-01-09
TTE,Anthony Turgis,FRA,1994-05-16
TTE,Baptiste Vadic,FRA,2002-04-15
TTE,Matteo Vercher,FRA,2001-01-26
TUD,Julian Alaphilippe,FRA,1992-06-11
TUD,Will Barta,USA,1996-01-04
TUD,Marco Brenner,GER,2002-08-27
TUD,Arvid de Kleijn,NED,1994-03-21
TUD,Robin Donze,SUI,2003-11-06
TUD,Jacob Eriksson,SWE,1999-10-01
TUD,Robin Froidevaux,SUI,1998-10-17
TUD,Marco Haller,AUT,1991-04-01
TUD,Marc Hirschi,SUI,1998-08-24
TUD,Petr Kelemen,CZE,2000-11-18
TUD,Arthur Kluckers,LUX,2000-03-15
TUD,Sebastian Kolze Changizi,DEN,2000-12-29
TUD,Stefan Kung,SUI,1993-11-16
TUD,Fabian Lienhard,SUI,1993-09-03
TUD,Marius Mayrhofer,GER,2000-09-18
TUD,Aivaras Mikutis,LIT,2002-09-16
TUD,Luca Mozzato,ITA,1998-02-15
TUD,Rick Pluimers,NED,2000-12-07
TUD,Mathys Rondel,FRA,2003-09-23
TUD,Michael Storer,AUS,1997-02-28
TUD,Florian Stork,GER,1997-04-27
TUD,Joel Suter,SUI,1998-10-25
TUD,Roland Thalmann,SUI,1993-08-05
TUD,Matteo Trentin,ITA,1989-08-02
TUD,Yannis Voisard,SUI,1998-07-26
TUD,Larry Warbasse,USA,1990-06-28
TUD,Fabian Weiss,GER,2002-04-11
TUD,Hannes Wilksch,GER,2001-10-30
TUD,Luc Wirtgen,LUX,1998-07-07
TUD,Maikel Zijlaard,NED,1999-06-01
