uci_code,rider_name,nationality,date_of_birth
GFC,Lars van den Berg,NED,1998-07-07
GFC,Matthew Walls,GBR,1998-04-20
IGD,Thymen Arensman,NED,1999-12-04
IGD,Andrew August,USA,2005-10-12
IGD,Egan Bernal,COL,1997-01-13
IGD,Jonathan Castroviejo,ESP,1987-04-27
IGD,Laurens De Plus,BEL,1995-09-04
IGD,Caleb Ewan,AUS,1994-07-11
IGD,Tobias Foss,NOR,1997-05-25
IGD,Omar Fraile,ESP,1990-07-17
IGD,Filippo Ganna,ITA,1996-07-25
IGD,Lucas Hamilton,AUS,1996-02-12
IGD,Kim Heiduk,GER,2000-03-03
IGD,Bob Jungels,LUX,1992-09-22
IGD,Michal Kwiatkowski,POL,1990-06-02
IGD,Victor Langellotti,MON,1995-06-07
IGD,Axel Laurance,FRA,2001-04-13
IGD,Michael Leonard,CAN,2004-03-26
IGD,Salvatore Puccio,ITA,1989-08-31
IGD,Brandon Rivera,COL,1996-03-21
IGD,Carlos Rodriguez,ESP,2001-02-02
IGD,Oscar Rodriguez,ESP,1995-05-06
IGD,Magnus Sheffield,USA,2002-04-19
IGD,Artem Shmidt,USA,2004-01-30
IGD,Ben Swift,GBR,1987-11-05
IGD,Connor Swift,GBR,1995-10-30
IGD,Joshua Tarling,GBR,2004-02-15
IGD,Geraint Thomas,GBR,1986-05-25
IGD,Ben Turner,GBR,1999-05-28
IGD,Samuel Watson,GBR,2001-09-24
LTK,Juan Ayuso,ESP,1985-09-16
LTK,Andrea Bagioli,ITA,1999-03-23
LTK,Julien Bernard,FRA,1992-03-17
LTK,Giulio Ciccone,ITA,1994-12-20
LTK,Simone Consonni,ITA,1994-09-12
LTK,Derek Gee-West,CAN,1997-08-03
LTK,Tao Geoghegan Hart,GBR,1995-03-30
LTK,Amanuel Ghebreigzabhier,ERI,1994-08-17
LTK,Lennard Kamna,GER,1996-09-09
LTK,Patrick Konrad,AUT,1991-10-23
LTK,Soren Kragh Andersen,DEN,1994-08-10
LTK,Jonathan Milan,ITA,2000-10-01
LTK,Bauke Mollema,NED,1986-11-26
LTK,Jacopo Mosca,ITA,1993-08-29
LTK,Mathias Norsgaard,DEN,1997-05-05
LTK,Thibau Nys,BEL,2002-11-12
LTK,Sam Oomen,NED,1995-08-15
LTK,Mads Pedersen,DEN,1995-12-18
LTK,Albert Philipsen,DEN,2006-09-03
LTK,Quinn Simmons,USA,2001-05-08
LTK,Jakob Soderqvist,SWE,2003-05-31
LTK,Mattias Skjelmose,DEN,2000-09-26
LTK,Toms Skujins,LAT,1991-06-15
LTK,Matteo Sobrero,ITA,1997-05-14
LTK,Tim Torn Teutenberg,GER,2002-06-19
LTK,Edward Theuns,BEL,1991-04-30
LTK,Mathias Vacek,CZE,2002-06-12
LTK,Otto Vergaerde,BEL,1994-07-15
LTK,Carlos Verona,ESP,1992-11-04
LTK,Max Walscheid,GER,1993-06-13
IWA,Toon Aerts,BEL,1993-10-19
IWA,Jenno Berckmoes,BEL,2001-02-04
IWA,Cedric Beullens,BEL,1997-01-27
IWA,Lars Craps,BEL,2001-10-17
IWA,Logan Currie,NZL,2001-06-24
IWA,Jasper De Buyst,BEL,1993-11-24
IWA,Arnaud De Lie,BEL,2002-03-16
IWA,Steffen De Schuyteneer,BEL,2005-02-24
IWA,Jarrad Drizners,AUS,1999-05-31
IWA,Joshua Giddings,GBR,2003-07-20
IWA,Jonas Gregaard,DEN,1996-07-30
IWA,Sebastien Grignard,BEL,1999-04-29
IWA,Arjen Livyns,BEL,1994-09-01
IWA,Milan Menten,BEL,1996-10-31
IWA,Robin Orins,BEL,2002-03-06
IWA,Alec Segaert,BEL,2003-01-16
IWA,Eduardo Sepulveda,ARG,1991-06-13
IWA,Liam Slock,BEL,2000-09-18
IWA,Lionel Taminiaux,BEL,1996-05-19
IWA,Reuben Thompson,NZL,2001-02-15
IWA,Jarne Van de Paar,BEL,2000-10-23
IWA,Lorenz Van de Wynkele,BEL,2001-08-19
IWA,Lennert Van Eetvelt,BEL,2001-07-17
IWA,Brent Van Moer,BEL,1998-01-12
IWA,Henri Vandenabeele,BEL,2000-04-15
IWA,Baptiste Veistroffer,FRA,2000-05-29
IWA,Elia Viviani,ITA,1989-02-07
MOV,Roger Adria,ESP,1998-04-18
MOV,Jorge Arcas,ESP,1992-07-08
MOV,Orluis Aular,VEN,1996-11-05
MOV,Jon Barrenetxea,ESP,2000-04-20
MOV,Carlos Canal,ESP,2001-06-28
MOV,Pablo Castrillo,ESP,2001-01-02
MOV,Jefferson Alveiro Cepeda,ECU,1996-03-02
MOV,Davide Formolo,ITA,1992-10-25
MOV,Ivan Garcia Cortina,ESP,1995-11-20
MOV,Michel Hessmann,GER,2001-04-06
MOV,Juan Pedro Lopez,ESP,1997-07-31
MOV,Enric Mas,ESP,1995-01-07
MOV,Lorenzo Milesi,ITA,2002-03-19
MOV,Manlio Moro,ITA,2002-03-17
MOV,Pavel Novak,CZE,2004-12-03
MOV,Nelson Oliveira,POR,1989-03-06
MOV,Nairo Quintana,COL,1990-02-04
MOV,Ivan Romeo,ESP,2003-08-16
MOV,Javier Romo,ESP,1999-01-06
MOV,Einer Rubio,COL,1998-02-22
MOV,Pelayo Sanchez,ESP,2000-03-27
MOV,Gonzalo Serrano,ESP,1994-08-17
MOV,Natnael Tesfatsion,ERI,1999-05-23
MOV,Albert Torres,ESP,1990-04-26
MOV,Cian Uijtdebroeks,BEL,2003-02-28
NSN,Lewis Askey,GBR,1986-05-04
NSN,George Bennett,NZL,1990-04-07
NSN,Joseph Blackmore,GBR,2003-02-23
NSN,Guillaume Boivin,CAN,1989-05-25
NSN,Simon Clarke,AUS,1986-07-18
NSN,Pier-Andre Cote,CAN,1997-04-24
NSN,Itamar Einhorn,ISR,1997-09-20
NSN,Marco Frigo,ITA,2000-03-02
NSN,Brady Gilmore,AUS,2001-04-14
NSN,Biniam Girmay,ERI,2000-04-02
NSN,Jan Hirt,CZE,1991-01-21
NSN,Hugo Hofstetter,FRA,1994-02-13
NSN,Oded Kogut,ISR,2001-02-14
NSN,Matis Louvel,FRA,1999-07-19
NSN,Alexey Lutsenko,KAZ,1992-09-07
NSN,Ryan Mullen,IRL,1994-08-07
NSN,Krists Neilands,LAT,1994-08-18
NSN,Alessandro Pinarello,ITA,2003-07-13
NSN,Nadav Raisberg,ISR,2001-03-29
NSN,Nick Schultz,AUS,1994-09-13
NSN,Riley Sheehan,USA,2000-06-16
NSN,Dion Smith,NZL,1993-03-03
NSN,Jake Stewart,GBR,1999-10-02
NSN,Corbin Strong,NZL,2000-04-30
NSN,Tom Van Asbroeck,BEL,1990-04-19
NSN,Ethan Vernon,GBR,2000-08-26
NSN,Stephen Williams,GBR,1996-06-09
RBH,Roger Adria,ESP,1998-05-18
RBH,Giovanni Aleotti,ITA,1999-05-25
RBH,Nico Denz,GER,1994-02-15
RBH,Remco Evenepoel,BEL,2001-01-25
RBH,Finn Fisher-Black,NZL,2001-12-21
RBH,Alexander Hajek,AUT,2003-07-19
RBH,Emil Herzog,GER,2004-10-06
RBH,Jai Hindley,AUS,1996-05-05
RBH,Jonas Koch,GER,1993-06-25
RBH,Oier Lazkano,ESP,1999-11-07
RBH,Florian Lipowitz,GER,2000-09-21
RBH,Filip Maciejuk,POL,1999-09-03
RBH,Daniel Martinez,COL,1996-04-25
RBH,Jordi Meeus,BEL,1998-07-01
RBH,Gianni Moscon,ITA,1994-04-20
RBH,Ryan Mullen,IRL,1994-08-07
RBH,Anton Palzer,GER,1993-03-11
RBH,Giulio Pellizzari,ITA,2003-11-21
RBH,Laurence Pithie,NZL,2002-07-17
RBH,Primoz Roglic,SLO,1989-10-29
RBH,Matteo Sobrero,ITA,1997-06-14
RBH,Jan Tratnik,SLO,1990-02-23
RBH,Mick van Dijke,NED,2000-03-15
RBH,Tim van Dijke,NED,2000-03-15
RBH,Maxim Van Gils,BEL,1999-11-25
RBH,Danny van Poppel,NED,1993-07-26
RBH,Aleksandr Vlasov,RUS,1996-04-23
RBH,Frederik Wandahl,DEN,2001-05-09
RBH,Sam Welsford,AUS,1996-01-19
RBH,Ben Zwiehoff,GER,1994-02-22
SOQ,Ayco Bastiaens,BEL,1996-06-03
SOQ,Steff Cras,BEL,1996-02-13
SOQ,Alberto Dainese,ITA,1998-03-25
SOQ,Pascal Eenkhoorn,NED,1997-02-08
SOQ,Gianmarco Garofoli,ITA,2002-10-06
SOQ,Gil Gelders,BEL,2002-12-16
SOQ,Ethan Hayter,GBR,1998-09-18
SOQ,Yves Lampaert,BEL,1991-04-10
SOQ,Mikel Landa,ESP,1989-12-13
SOQ,Junior Lecerf,BEL,2002-10-15
SOQ,Paul Magnier,FRA,2004-04-14
SOQ,Tim Merlier,BEL,1992-10-30
SOQ,Valentin Paret-Peintre,FRA,2001-01-14
SOQ,Casper Pedersen,DEN,1996-03-15
SOQ,Pepijn Reinderink,NED,2002-05-04
SOQ,Laurenz Rex,BEL,1999-12-15
SOQ,Maximilian Schachmann,GER,1994-01-09
SOQ,Jasper Stuyven,BEL,1992-04-17
SOQ,Martin Svrcek,SVK,2003-02-17
SOQ,Dylan van Baarle,NED,1992-05-21
SOQ,Fabio Van den Bossche,BEL,2000-09-21
SOQ,Dries Van Gestel,BEL,1994-09-30
SOQ,Bert Van Lerberghe,BEL,1992-09-29
SOQ,Ilan Van Wilder,BEL,2000-05-14
SOQ,Warre Vangheluwe,BEL,2001-07-23
SOQ,Mauri Vansevenant,BEL,1999-06-01
SOQ,Louis Vervaeke,BEL,1993-10-06
SOQ,Filippo Zana,ITA,1999-03-18
TBV,Nikias Arndt,GER,1991-11-18
TBV,Phil Bauhaus,GER,1994-07-08
TBV,Pello Bilbao,ESP,1990-02-25
TBV,Alessandro Borgo,ITA,2005-02-06
TBV,Alberto Bruttomesso,ITA,2003-10-30
TBV,Santiago Buitrago,COL,1999-09-26
TBV,Damiano Caruso,ITA,1987-10-12
TBV,Roman Ermakov,RUS,2004-10-06
TBV,Zak Erzen,SLO,2005-10-19
TBV,Afonso Eulalio,POR,2001-09-30
TBV,Matevz Govekar,SLO,2000-04-17
TBV,Kamil Gradek,POL,1990-09-17
TBV,Rainer Kepplinger,AUT,1997-08-19
TBV,Lenny Martinez,FRA,2003-07-11
TBV,Fran Miholjevic,CRO,2002-08-02
TBV,Pau Miquel,ESP,2000-08-20
TBV,Matej Mohoric,SLO,1994-10-19
TBV,Jakob Omrzel,SLO,2006-03-21
TBV,Mathijs Paasschens,NED,1996-03-18
TBV,Alec Segaert,BEL,2003-01-16
TBV,Daniel Skerl,ITA,2003-03-21
TBV,Robert Stannard,AUS,1998-09-16
TBV,Oliver Stockwell,GBR,2002-06-07
TBV,Antonio Tiberi,ITA,2001-06-24
TBV,Attila Valter,HUN,1998-06-12
TBV,Max van der Meulen,NED,2004-01-13
TBV,Vlad Van Mechelen,BEL,2004-06-02
TBV,Edoardo Zambanini,ITA,2001-04-21
JAY,Welay Berhe,ETH,1976-10-22
JAY,Koen Bouwman,NED,1993-12-02
JAY,Filippo Conca,ITA,1998-09-22
JAY,Alessandro De Marchi,ITA,1986-05-19
JAY,Davide De Pretto,ITA,2002-04-19
JAY,Bob Donaldson,GBR,2002-04-08
JAY,Paul Double,GBR,1996-06-25
JAY,Eddie Dunbar,IRL,1996-09-01
JAY,Luke Durbridge,AUS,1991-04-09
JAY,Felix Engelhardt,GER,2000-08-19
JAY,Anders Foldager,DEN,2001-07-27
JAY,Patrick Gamper,AUT,1997-02-18
JAY,Dylan Groenewegen,NED,1993-06-21
JAY,Chris Harper,AUS,1994-11-23
JAY,Alan Hatherly,RSA,1996-03-15
JAY,Asbjorn Hellemose,DEN,1999-01-15
JAY,Michael Hepburn,AUS,1991-08-17
JAY,Christopher Juul-Jensen,DEN,1989-07-06
JAY,Jelte Krijnsen,NED,2001-05-12
JAY,Michael Matthews,AUS,1990-09-26
JAY,Luka Mezgec,SLO,1988-06-27
JAY,Kelland O'Brien,AUS,1998-05-22
JAY,Ben O'Connor,AUS,1995-11-25
JAY,Luke Plapp,AUS,2000-12-25
JAY,Elmar Reinders,NED,1992-03-14
JAY,Mauro Schmid,SUI,1999-12-04
JAY,Campbell Stewart,NZL,1998-05-12
JAY,Jasha Sutterlin,GER,1992-11-04
JAY,Max Walscheid,GER,1993-06-13
JAY,Filippo Zana,ITA,1999-03-18
TPP,Warren Barguil,FRA,1991-10-28
TPP,Pavel Bittner,CZE,2002-10-29
TPP,Dillon Corkery,IRL,1999-02-12
TPP,John Degenkolb,GER,1989-01-07
TPP,Robbe Dhondt,BEL,2004-06-25
TPP,Matthew Dinham,AUS,2000-04-09
TPP,Nils Eekhoff,NED,1998-01-23
TPP,Alexy Faure Prost,FRA,2004-04-22
TPP,Sean Flynn,GBR,2000-03-02
